what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1372777006703
java.version,sysinfo,,,"1.7.0_17",1372777006703
java.vm.info,sysinfo,,,"mixed mode, sharing",1372777006703
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1372777006703
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372777006703
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1372777006703
java.vm.specification.version,sysinfo,,,"1.7",1372777006703
java.vm.vendor,sysinfo,,,"Oracle Corporation",1372777006703
java.vm.version,sysinfo,,,"23.7-b01",1372777006703
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372777006703
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1372777006906
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1372777007000
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1372777007078
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1372777007421
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1372777007468
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1372777007515
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1372777007609
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1372777007625
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1372777007671
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1372777007875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1372777019484
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1372777023437
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1372777023562
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1372777023906
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1372777024437
