what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372267878000
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1372267878000
java.specification.name,sysinfo,,,"Java Platform API Specification",1372267878000
java.specification.vendor,sysinfo,,,"Oracle Corporation",1372267878000
java.specification.version,sysinfo,,,"1.7",1372267878000
java.vendor,sysinfo,,,"Oracle Corporation",1372267878000
java.version,sysinfo,,,"1.7.0_17",1372267878000
java.vm.info,sysinfo,,,"mixed mode, sharing",1372267878000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1372267878000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372267878000
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1372267878000
java.vm.specification.version,sysinfo,,,"1.7",1372267878000
java.vm.vendor,sysinfo,,,"Oracle Corporation",1372267878000
java.vm.version,sysinfo,,,"23.7-b01",1372267878000
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1372267878031
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1372267878093
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1372267878250
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1372267878250
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1372267878406
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1372267878562
started,bundle,org.eclipse.jst.jsp.core,1.2.203.v200908241513,"org.eclipse.jst.jsp.core",1372267878765
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1372267878921
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1372267879421
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1372267879515
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1372267879671
