what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370893195875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893198828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893200796
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1370893200859
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1370893203437
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1370893203546
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1370893208031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893221875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893221875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893221937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893498406
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1370893505906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893514656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893547203
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1370893560265
activated,view,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui.ServersView",1370893561671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893564218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893584062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893585984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893587906
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1370893588234
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1370893589125
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1370893589140
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1370893589203
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1370893589234
